Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
3653;76070012;Deutsche Bank AG;Weiden, Oberpf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3654;76070012;Deutsche Bank AG;Neumarkt, Oberpf;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3655;76070012;Deutsche Bank AG;Lauf a d Pegnitz;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3656;76070012;Deutsche Bank AG;Schwabach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3657;76070024;Deutsche Bank Privat und Geschäftskunden AG;Amberg, Oberpf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3658;76070024;Deutsche Bank Privat und Geschäftskunden AG;Ansbach, Mittelfr;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3659;76070024;Deutsche Bank Privat und Geschäftskunden AG;Bamberg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3660;76070024;Deutsche Bank Privat und Geschäftskunden AG;Bayreuth;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3661;76070024;Deutsche Bank Privat und Geschäftskunden AG;Coburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3662;76070024;Deutsche Bank Privat und Geschäftskunden AG;Erlangen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3663;76070024;Deutsche Bank Privat und Geschäftskunden AG;Forchheim, Oberfr;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3664;76070024;Deutsche Bank Privat und Geschäftskunden AG;Fürth, Bay;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3665;76070024;Deutsche Bank Privat und Geschäftskunden AG;Kulmbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3666;76070024;Deutsche Bank Privat und Geschäftskunden AG;Lauf a d Pegnitz;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3667;76070024;Deutsche Bank Privat und Geschäftskunden AG;Neumarkt, Oberpf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3668;76070024;Deutsche Bank Privat und Geschäftskunden AG;Neustadt b. Coburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3669;76070024;Deutsche Bank Privat und Geschäftskunden AG;Nürnberg, Mittelfr;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3670;76070024;Deutsche Bank Privat und Geschäftskunden AG;Schwabach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3671;76070024;Deutsche Bank Privat und Geschäftskunden AG;Weiden, Oberpf;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3672;76070024;Deutsche Bank Privat und Geschäftskunden AG;Zirndorf, Mittelfr;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;10.06.2013;;;;;
3673;76090100;Liga Spar und Kreditgenossenschaft Regensburg Filiale Nürnberg;Nürnberg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3674;76090300;Bäcker-Bank Nürnberg;Nürnberg, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3675;76090400;Evenord-Bank;Nürnberg, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3676;76090500;Sparda-Bank Nürnberg eG;Nürnberg ;Sparda-Datenverarbeitung eG;BVR;;;;;;;;;;;;;;;;;;https://fints.bankingonline.de/fints/FinTs30PinTanHttpGate;FinTS V3.0;26.09.2013;;;;;
3677;76211900;CVW - Privatbank;Wilhermsdorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3678;76220073;UniCredit Bank - HypoVereinsbank AG;Fürth, Bay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3679;76220073;UniCredit Bank - HypoVereinsbank AG;Langenzenn;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3680;76220073;UniCredit Bank - HypoVereinsbank AG;Uffenheim;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3681;76220073;UniCredit Bank - HypoVereinsbank AG;Zirndorf, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3682;76240011;Commerzbank;Fürth;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3683;76240011;Commerzbank;Zirndorf;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3684;76250000;Sparkasse Fürth;Fürth;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3685;76251020;Sparkasse im Landkreis Neustadt-Bad Winsheim;Neustadt a. d. Aisch-Bad Winsheim;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3686;76260451;Raiffeisen-Volksbank Fürth;Fürth, Bay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3687;76320072;UniCredit Bank - HypoVereinsbank AG;Erlangen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3688;76320072;UniCredit Bank - HypoVereinsbank AG;Forchheim, Oberfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3689;76320072;UniCredit Bank - HypoVereinsbank AG;Neustadt a.d.Aisch;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3690;76320072;UniCredit Bank - HypoVereinsbank AG;Adelsdorf, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3691;76320072;UniCredit Bank - HypoVereinsbank AG;Höchstadt a.d.Aisch;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3692;76320072;UniCredit Bank - HypoVereinsbank AG;Ebermannstadt;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3693;76320072;UniCredit Bank - HypoVereinsbank AG;Herzogenaurach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3694;76340061;Commerzbank;Erlangen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3695;76350000;Stadt- und Kreissparkasse Erlangen;Erlangen;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3696;76351040;Sparkasse Forchheim;Forchheim;Finanz Informatik GmbH & Co. KG;DSGV;banking-by4.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3697;76351560;Kreissparkasse Höchstadt a. d. Aisch;Höchstadt ;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3698;76360033;Raiffeisen-Volksbank;Erlangen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3699;76391000;Volksbank Forchheim;Forchheim, Oberfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3700;76420080;UniCredit Bank - HypoVereinsbank AG;Schwabach;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3701;76420080;UniCredit Bank - HypoVereinsbank AG;Roth, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3702;76450000;Sparkasse Mittelfranken-Süd;Mittelfranken-Süd;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3703;76460015;Raiffeisenbank Roth-Schwabach;Roth, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3704;76461485;Raiffeisenbank am Rothsee;Hilpoltstein, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3705;76520071;UniCredit Bank - HypoVereinsbank AG;Ansbach, Mittelfr;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3706;76520071;UniCredit Bank - HypoVereinsbank AG;Weißenburg i.Bay.;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3707;76520071;UniCredit Bank - HypoVereinsbank AG;Gunzenhausen am Altmühlsee;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3708;76520071;UniCredit Bank - HypoVereinsbank AG;Rothenburg ob der Tauber;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3709;76520071;UniCredit Bank - HypoVereinsbank AG;Wassertrüdingen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3710;76520071;UniCredit Bank - HypoVereinsbank AG;Dinkelsbühl;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3711;76550000;Vereinigte Sparkassen Ansbach;Ansbach;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3712;76551020;Kreis- und Stadtsparkasse Dinkelsbühl;Dinkelsbühl;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3713;76551540;Vereinigte Sparkasse Gunzenhausen;Gunzenhausen;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3714;76551860;Stadt- und Kreissparkasse Rothenburg;Rothenburg;Finanz Informatik GmbH & Co. KG;DSGV;banking-by1.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by1.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3715;76560060;RaiffeisenVolksbank Gewerbebank;Ansbach, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3716;76561979;Raiffeisenbank -alt-;Uffenheim;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3717;76591000;VR Bank Dinkelsbühl;Dinkelsbühl;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3718;77020070;UniCredit Bank - HypoVereinsbank AG;Bamberg;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3719;77020070;UniCredit Bank - HypoVereinsbank AG;Lichtenfels, Bay;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3720;77020070;UniCredit Bank - HypoVereinsbank AG;Bad Staffelstein;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015;;;;;
3721;77040080;Commerzbank;Bamberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;ja;ja;;ja;;;ja;ja;ja;;;;;;15.11.2010;;;;;
3722;77050000;Sparkasse Bamberg;Bamberg;Finanz Informatik GmbH & Co. KG;DSGV;banking-by4.s-fints-pt-by.de;nicht unterstützt;3.0;ja;;;;;;;;;;;;;;https://banking-by4.s-fints-pt-by.de/fints30;FinTS V3.0;21.07.2015;;;;;
3723;77060100;VR Bank Bamberg Raiffeisen-Volksbank;Bamberg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3724;77061004;Raiffeisenbank Obermain Nord;Altenkunstadt;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3725;77061425;Raiffeisen-Volksbank;Ebern;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3726;77062014;Raiffeisenbank;Burgebrach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3727;77062139;Raiffeisen-Volksbank Bad Staffelstein;Bad Staffelstein;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3728;77063048;Raiffeisenbank Hallstadt -alt-;Hallstadt;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3729;77065141;Raiffeisenbank Stegaurach;Stegaurach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3730;77069042;Raiffeisenbank Gößweinstein -alt-;Gößweinstein;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3731;77069044;Raiffeisenbank Küps-Mitwitz-Stockheim;Küps;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3732;77069051;Raiffeisenbank;Heiligenstadt i.OFr.;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3733;77069052;Raiffeisenbank;Heroldsbach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3734;77069084;Raiffeisenbank -alt-;Memmelsdorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3735;77069091;Raiffeisenbank Ebrachgrund;Mühlhausen, Mittelfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3736;77069110;Raiffeisenbank Pretzfeld -alt-;Pretzfeld;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3737;77069128;Raiffeisenbank Scheßlitz-Zapfendorf -alt-;Scheßlitz;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3738;77069461;Vereinigte Raiffeisenbanken;Gräfenberg, Oberfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3739;77069556;Raiffeisenbank;Neunkirchen a. Brand;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3740;77069739;Raiffeisenbank Thurnauer Land;Thurnau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3741;77069746;Raiffeisenbank;Emtmannsberg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3742;77069764;Raiffeisenbank Kemnather Land - Steinwald;Kemnath;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3743;77069782;Raiffeisenbank am Kulm;Speichersdorf;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3744;77069836;Raiffeisenbank Berg-Bad Steben;Berg, Oberfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3745;77069868;Raiffeisenbank Oberland;Marktleugast;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3746;77069870;Raiffeisenbank Frankenwald Ost-Oberkotzau;Schwarzenbach a Wald;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3747;77069879;Raiffeisenbank -alt-;Oberkotzau;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3748;77069893;Raiffeisenbank;Töpen;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3749;77069906;Raiffeisenbank Wüstenselbitz;Helmbrechts, Oberfr;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3750;77069908;Raiffeisenbank Sparneck-Stammbach-Zell;Stammbach;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3751;77090100;Liga Spar und Kreditgenossenschaft Regensburg Filiale Regensb.;Regensburg;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
3752;77091800;Raiffeisen-Volksbank Lichtenfels-Itzgrund;Lichtenfels, Bay;Fiducia & GAD IT AG;BVR;hbci01.fiducia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;18.12.2009;;;;;
